id,true_priority_name,predicted_priority_name,error_direction,manual_primary_category,severity,product,component,summary,description_snippet,severity_is_normal,has_stack_or_exception,has_high_impact_terms,product_focus_platform_or_jdt,component_focus_ui_debug_core,related_pull_to_p1_p2,related_pull_to_p3,related_top1_priority,related_top3_avg_priority,related_top5_avg_priority
14093,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：stack/exception 訊號讓模型判太嚴重,normal,jdt,ui,exception in search results view,"m5 sorry, no steps my search results view stopped working (would display no entries) then i found this in the log java.lang.nullpointerexception at (groupbykeycomputer.java:56) at (groupbykeycomputer.java:28) at (searchmanager.java:375) at (searchmanager.java:359) at (searchmanager.java:348) at $2 (searchmanager.java:337) at $7.run (searchmanager.java:472) at (synchronizer.java (compiled code)) at (uisynchronizer.java (compiled code)) at (display.java(compiled code)) at (searchmanager.java:48...",True,True,False,True,True,True,True,3.0,1.6666666666666667,1.8
14405,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：stack/exception 訊號讓模型判太嚴重,normal,pde,ui,widget is disposed error saving java file,"i got a widget is disposed error when i saved a .java file. i had just organzied my imports and then i saved. contents of the file are at the end of the pr <?xml version=""1.0"" encoding=""utf-8""?> <log> <log-entry date=""tue apr 23 09:25:00 edt 2002""> <status plugin-id=""org.eclipse.core.resources"" severity=""warning"" message=""problems occurred when invoking code from plug-in: org.eclipse.core.resources."" code=""2""> <exception message=""widget is disposed"" trace="" org.eclipse.swt.swtexception: widge...",True,True,False,False,True,False,True,3.0,3.0,2.4
14506,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：stack/exception 訊號讓模型判太嚴重,normal,jdt,ui,exception on f3 in package declaration,20020423.1 select a package declaration in a cu and press f3 java.lang.nullpointerexception at (editorutility.java:141) at (editorutility.java:102) at (editorutility.java:89) at (openactionutil.java:45) at (openaction.java:141) at (openaction.java:120) at (selectiondispatchaction.java:134) at (selectiondispatchaction.java:94) at (retargetaction.java:147) at (retargetactiondelegator.java:53) at (pluginaction.java:202) at (wwinpluginaction.java:165) at (actioncontributionitem.java:407) at (acti...,True,True,False,True,True,True,False,1.0,1.6666666666666667,1.8
14549,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：stack/exception 訊號讓模型判太嚴重,normal,platform,update  (deprecated - use eclipse>equinox>p2),internal error when you click on feature updates link in update welcome,"build: m5 help -> update manager click on ""updates"" in the ""feature updates"" section internal error: java.lang.classcastexception: at $1.linkactivated (mainform.java:82) at (formengine.java:222) at (formengine.java:136) at $3 (formengine.java:123) at $6.mouseup (formengine.java:99) at (typedlistener.java:128) at (eventtable.java:75) at (widget.java:637) at (display.java:1412) at (display.java:1208) at (workbench.java:836) at org.eclipse.ui.internal.workbench.run(workbench.java:819) at (intern...",True,True,False,True,False,True,False,1.0,1.3333333333333333,1.2
15681,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：stack/exception 訊號讓模型判太嚴重,normal,platform,update  (deprecated - use eclipse>equinox>p2),internal error installing hand-rolled feature with missing feature,"integration build 20020508 (1411) trying to use the update manager to install a hand-rolled feature from a local update site. i screwed up and forgot to include one of the plug-ins mentioned in the feature.xml. it makes it as far as the continue installing feature, and then silently gives up. no error is reported to the user, and the user is never ask for restart. the log shows its getting an exception. in cases like this, the user should probably be told that there is something wrong with th...",True,True,False,True,False,True,False,2.0,1.3333333333333333,1.4
15719,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：stack/exception 訊號讓模型判太嚴重,major,jdt,core,errors during build,"when saving in wsad-ie 4.1.0, i get a message box with the title ""save problems"". the messagebox contains the following texts : ""save could not be completed"" ""reason:"" "" erors during build"" in the log file there is an exception (see below). i found that the problem occurs only when i declare a method without parameters and leave the braces out. i my case i the following code caused the problem: public string tostring{ stringbuffer strbuff = new stringbuffer(255); // some other stuff here, but...",False,True,False,True,True,True,False,1.0,1.6666666666666667,1.4
16036,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：stack/exception 訊號讓模型判太嚴重,enhancement,jdt,debug,ui not responsive when stack is deep,"build 20020514 1. create the following cu: public class helloworld { public void hello(int i) { if (i == 0) { system.out.println(""hello world""); // breakpoint here } else { this.hello(i-1); } } public static void main(string[] args) throws exception { new helloworld().hello(2000); } } 2. add a breakpoint where indicated 3. run under debug 4. when the breakpoint is hit, it will first timeout and not show the stack frames. observe: trying to expand the stack frames, or simply select the thread ...",False,True,False,True,True,True,False,1.0,1.3333333333333333,1.4
8250,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：ui/debug/core 模組歷史訊號偏高,normal,jdt,debug,inspect and display actions not enabled correctly,start a debug session hit ctrl-d (for display) nothing happens the actions do not enable until the editor is given focus.,True,False,False,True,True,True,False,1.0,2.6666666666666665,2.2
10048,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：ui/debug/core 模組歷史訊號偏高,major,jdt,ui,error applying templates,"because of $type special template variable was introduced, some templates began working incorrectly. replacing $type with $type_name makes all the templates work correctly as they are expected to. the distributive should be changed accordingly.",False,False,False,True,True,True,False,2.0,1.6666666666666667,2.2
11022,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：ui/debug/core 模組歷史訊號偏高,normal,jdt,core,unexpected full build,"build 20020307 after some successfull compilation loops, the java builder suddenly did decide to perform a full build. i copied the last portion of the trace, it complained about not being able to find its build state. i recall i was changing the signature of icompletionrequestor#accepterror (imarker) to icompletionrequestor#accepterror(iproblem) before triggering the build action. starting build of org.eclipse.jdt.core incremental build compile this changed source file / core/icompletionrequ...",True,False,False,True,True,True,False,1.0,1.3333333333333333,1.8
11128,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：ui/debug/core 模組歷史訊號偏高,normal,jdt,debug,access to a field in a particular super-type through ijavaobject,"it is possible to cast an instance to a super type and query it for a field. this query should return the field from the super type. for the evaluation engine to support this, we need to be able to ask an ijavaobject for a field from a particular type in the hierarchy as follows: public ijavafieldvariable getfield(string name, string typesignature) throws debugexception; an implementation of this api (in jdiobjectvalue) is: public ijavafieldvariable getfield(string name, string typesignature)...",True,False,False,True,True,True,False,2.0,1.6666666666666667,1.8
14201,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：ui/debug/core 模組歷史訊號偏高,major,platform,ui,accessibility : can not activate celleditor from context menu with keyboard,"env. : windows 2000 & red hat 7.2 to support keyboard operation, i associate a context menu with a table that uses textcelleditor. there are menu items such as; - edit column 1 - edit column 2 ..... in handler (action) of menu item, i activate textcelleditor for specified column. this works well when user select a menu item with mouse, but it does not work when user select a menu item with keyboard in the following way. (1) shift + f10 (2) down/up allow key (3) [enter] try remaining [enter] p...",False,False,False,True,True,True,True,3.0,1.6666666666666667,2.0
16178,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：ui/debug/core 模組歷史訊號偏高,major,platform,ui,lru working set contains removed working set,the last recently list is not updated when one of its working sets is deleted.,False,False,False,True,True,True,False,1.0,1.3333333333333333,1.6
16558,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：ui/debug/core 模組歷史訊號偏高,major,platform,ui,cannot get to hyperlink in about dialogs with keyboard,"the about dialogs (about, about features and aout plug-ins) all have hyperlinks that cannot be negotiated with the keyboard.",False,False,False,True,True,False,True,3.0,2.6666666666666665,2.4
7594,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：一般判太嚴重,normal,platform,compare,"menu entry ""replace with previous"" shouldn't have a ""...""","menu entry ""replace with previous"" shouldn't have a ""...""",True,False,False,True,False,False,True,5.0,3.6666666666666665,3.4
7847,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：一般判太嚴重,normal,platform,resources,there is no undo for deletion of project,"there are two possible scenarios to address. 1. the project was deleted but not the files in the project. in this case, the project would need to be re-created and the files re- associated with it. 2. the project was deleted along with the files in it. in this case, the files would have to be restored, the project re-created, and the files re-associated with the project.",True,False,False,True,False,False,True,5.0,3.6666666666666665,3.8
13312,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：一般判太嚴重,major,platform,update  (deprecated - use eclipse>equinox>p2),provide better logging and tracing in core,in m5,False,False,False,True,False,True,True,2.0,3.3333333333333335,3.4
16299,P2 Critical,P1 Blocker,P2 -> P1 判太嚴重,P2->P1：一般判太嚴重,normal,platform,update  (deprecated - use eclipse>equinox>p2),problem with the new search wizard,"build: 20020517 there is a bug in the enabled/disabled state of the finish button of the new search wizard. 1. right-click on 'available updates' in the updates view, and select new- >search... 2. problem 1: the finish button is intially enabled although you have not entered a name yet. pressing finish has no effect. 3. enter a string in the name field. surprisingly, the finish button gets disabled now. (problem 2). it will get enabled again only when you make at least one selection change in...",True,False,False,True,False,True,False,2.0,2.0,2.2
3821,P2 Critical,P3 Major,P2 -> P3 判太輕,P2->P3：related reports 偏向 P3,major,jdt,ui,refactoring - variable extraction can lead to incorrect code (1gewdnw),extracting to method the code in between /*start*/ and /*end*/ results in invalid source: package p1; import java.io.*; public class x { void foo(final int out){ int i; if (out > 5){ /*start*/i = 1;/*end*/ } else { i = 2; } i++; } } > package p1; import java.io.*; public class x { void foo(final int out){ int i; if (out > 5){ i = asd(i); // complains that variable 'i' may not have been initialized - diagnosis is correct } else { i = 2; } i++; } protected int asd(int i) { i = 1; system.out.pri...,False,False,False,True,True,False,True,3.0,3.3333333333333335,3.4
1592,P2 Critical,P3 Major,P2 -> P3 判太輕,P2->P3：severity normal/enhancement/minor 讓模型判太輕,minor,platform,debug,debugplugin must allow for null elements in updatehistory() (1gei3c1),debugplugin when it attempts to see if there is a previous launch entry doesn't check to see if there are no elements before getting the element. my suggested fix (see below) is to check for a null element first. according to the documentation launches are allowed to have 0 elements. existing code (in 105): for (index= 0; index < history.length; index++) { ilaunch historylaunch= history[index]; if (historylaunch != null && historylaunch.getelement().equals(launch.getelement()) && launcher.equ...,False,False,False,True,True,False,True,3.0,3.6666666666666665,3.6
1639,P2 Critical,P3 Major,P2 -> P3 判太輕,P2->P3：severity normal/enhancement/minor 讓模型判太輕,enhancement,jdt,debug,run-in package can't be deleted (1gf7rqy),"after playing around with 1gf7qyw: itpjui:win2000 - securityexception when running scrapbook in java.util i was left with a java.util package in my project which couldn't be deleted. the delete looked like it did something, but it was still left in the workspace. i was trying to delete it from the packages view. it deleted ok when i tried it from the navigator view. couldn't reproduce. notes: eg (6/12/2001 5:50:53 am) moving to dui dw (6/12/01 11:20:44 am) known problem. the debugger leaves d...",False,False,False,True,True,True,False,2.0,2.0,2.6
1864,P2 Critical,P3 Major,P2 -> P3 判太輕,P2->P3：severity normal/enhancement/minor 讓模型判太輕,enhancement,platform,ui,[prefereces] preference to restart in fresh state (1g7hzja),"can the eclipse provide a preference that allows the user to control whether to persist the open/close states of the resources/files from the last session? that is, if a couple of files were opened when the eclipse was closed, the user can choose to restart the eclipse (1) with a ""clean"" desktop (all the files are closed) or (2) with all the files previously opened automatically reopened in the new session (the current eclipse behavior). a user can choose option (1) to cut down a lot of time ...",False,False,False,True,True,False,True,3.0,2.6666666666666665,3.2
2413,P2 Critical,P3 Major,P2 -> P3 判太輕,P2->P3：severity normal/enhancement/minor 讓模型判太輕,normal,platform,ui,[ui] sub categories are ignored in customize .. new wizards (1gf0nic),"this is a rare case. if you define a wizard category with sub categories, and there are new wizards in the sub categories, these wizards do not appear within the customize .. dialog. the code in actionsetdialoginput does not recurse into the complete wizard tree. it just examines the root categories. notes:",True,False,False,True,True,False,True,3.0,2.3333333333333335,2.6
2789,P2 Critical,P3 Major,P2 -> P3 判太輕,P2->P3：severity normal/enhancement/minor 讓模型判太輕,normal,platform,ui,[jface] deutsch: font styles shown in english (1gjjaqi),"when we show a font name in the dialog the string is shown using the english workds for it not the locale specific ones. steps 1) select an italic font in german (the word in german is kursiv) 2) the font dialog will show it as italic we have marked the values in stringconvertor as non-nls but they are nls. notes: tc (9/13/2001 4:05:14 pm) - this can be solved by also implementing a ""pretty print"" method on the stringconvertor as using that for display purposes instead. here is a suggested im...",True,False,False,True,True,False,True,3.0,3.3333333333333335,3.2
2915,P2 Critical,P3 Major,P2 -> P3 判太輕,P2->P3：severity normal/enhancement/minor 讓模型判太輕,normal,platform,ui,exception on d'n'd move in the navigator (1gla4k7),"ak (10/8/2001 3:19:24 pm) 1. project a and 2 packages x and y 2. in x, 2 files a.java, c.java 3. in y, 1 file a.java 4. in the navigator, select x.java from x and a.java from y 5. drag them and drop on x (note also that 'move' menu entry is no available) 6. a problem dialog shows up with an error that a.java already exists notes: vi (09/10/2001 3:29:01 pm) could this be a duplicate of 1gjyozc: itpui:all - dnd not working properly",True,True,False,True,True,False,True,3.0,2.6666666666666665,2.8
3054,P2 Critical,P3 Major,P2 -> P3 判太輕,P2->P3：severity normal/enhancement/minor 讓模型判太輕,normal,platform,ant,javadoc: ant javadoc needs review (1gf64t1),some of the javadoc in the ant core plugin does not conform to the spec or the form of the other javadoc in the platform. notes: arch (6/12/01 4:22:15 pm) defer,True,False,False,True,False,False,True,5.0,3.6666666666666665,3.4
3194,P2 Critical,P3 Major,P2 -> P3 判太輕,P2->P3：severity normal/enhancement/minor 讓模型判太輕,normal,jdt,core,dcr - jm - buffer contents is duplicated (1g03hcp),eg (8/22/00 7:22:49 pm) when editing a javacompilation unit its contents is duplicated in memory. once it is stored inside the buffer maintained by the javamodel and once it is stored in the text infrastructure's document. this could be avoided by having a custom document implement the ibuffer interface and providing a factory mechanism to create buffers in the buffermanager. notes: jbl (6/19/2001 2:42:52 pm) api change needed. pm (9/13/2001 11:56:19 am) buffer is discussed to be moved down i...,True,False,False,True,True,False,True,3.0,2.6666666666666665,2.8
3220,P2 Critical,P3 Major,P2 -> P3 判太輕,P2->P3：severity normal/enhancement/minor 讓模型判太輕,normal,jdt,core,formatter tests refer to hardcoded path on disk (1g9r5g4),the class com.ibm.jdt.formatter.tests.testsuite uses a static variable 'path' which hardcode the path to the test resources on disk ( /) these tests cannot be run if we don't have access to this path. notes: jbl (2/26/2001 1:15:45 pm) even worse: the suite() method does a system.exit(-1) if the path is not found! pm (2/27/2001 12:04:45 pm) time permitting.,True,False,False,True,True,False,True,3.0,3.0,3.0
3245,P2 Critical,P3 Major,P2 -> P3 判太輕,P2->P3：severity normal/enhancement/minor 讓模型判太輕,normal,jdt,core,sub folders with dot not visible in packages view (1gcoh17),"1. junit setup 2. add folder that contains a dot (e.g. ""com.ibm"") to junit.test (in navigator or packages view) ==> folder com.ibm not visible in packages view add resource and/or java file to the folder ==> folder and files not visible in packages view if the test case is done with a folder without a dot then the folder is visible notes: eg (4/29/2001 3:25:49 pm) some more facts: 1) adding a package name a.b.c in the packages view with the new package wizard works as expected 2) in a project...",True,True,False,True,True,False,True,3.0,3.0,3.4
3299,P2 Critical,P3 Major,P2 -> P3 判太輕,P2->P3：severity normal/enhancement/minor 讓模型判太輕,normal,jdt,core,autobuild produces errors when renaming source folders (1geymne),"1) split junit project into two source folders, say src1 and src2 2) set the project properties to include the two source folders -> no compile errors 3) in the package view rename src1 to src1a -> no compile errors 4) rename src2 to src2a in the package view -> compile errors -> check project properties: src2a is a regular source folder 5) rebuild all -> no compile errors 6) in the package view rename src1a to src1b -> compile errors -> check project properties: src1b is a regular source fol...",True,False,False,True,True,False,True,3.0,3.3333333333333335,3.0
3348,P2 Critical,P3 Major,P2 -> P3 判太輕,P2->P3：severity normal/enhancement/minor 讓模型判太輕,normal,jdt,ui,dcr: code formatter enhancement (1giyhqr),"eg (24.08.2001 11:26:37) from ec: > > - when i set the code formatter to not use tab representation it still > > sometimes inserts tabs. is this a known problem? > no, can you provide us with more details, so that we can track this as a > problem report. > [in another ide] opening the java file i am editing and using ctrl-shift-8 to display blanks and tabs (a nice feature): i will use '-' for a blank below and '=' for a tab. here is the scenario. i start with: --protected void finalize() thro...",True,False,True,True,True,False,True,3.0,3.0,3.0
3372,P2 Critical,P3 Major,P2 -> P3 判太輕,P2->P3：severity normal/enhancement/minor 讓模型判太輕,normal,jdt,core,markers for build path not updated on (re-) build (1gjy69s),markers are added for wrong build paths. however these markers only seem to be updated (added/removed) if i change the build path and not if - autobuild - build the project - rebuild the project this leads to problems if i restart eclipse and some of the jars have gone: there is no indication about the error. i can add java files and rebuild them but no marker will be generated telling me about the wrong build path. as far as i can remember it works when doing a catch up (but that should be v...,True,False,False,True,True,False,True,3.0,3.0,2.8
3440,P2 Critical,P3 Major,P2 -> P3 判太輕,P2->P3：severity normal/enhancement/minor 讓模型判太輕,normal,jdt,core,classfile comparator should be able to ignore order (1gl2i7e),"in order to minimize incremental builder actions, the classfile comparator should be able to ignore the order of members. note that this should be optional and not cost on cases where nothing has changed. the intent is that this mechanism can be turned on/off so as for the builder to experiment. notes: ot (05/10/2001 1:30:47 pm) the only way to do that is to sort the fields and the members before comparing them. this is commented out in the current source.",True,False,False,True,True,False,True,3.0,2.6666666666666665,2.4
5003,P2 Critical,P3 Major,P2 -> P3 判太輕,P2->P3：severity normal/enhancement/minor 讓模型判太輕,normal,jdt,core,review javabuilder cancelation handling,"an ec user reported a comment in javabuilder#build that it contains the following: } catch (operationcanceledexception e) { ... // see 1fvj5z8: itpcore:all - how should builders handle cancel? } the reference pr has been fixed, so the java builder can safely throw operationcanceledexception out of the build method.",True,False,False,True,True,False,True,3.0,3.0,3.0
7710,P2 Critical,P3 Major,P2 -> P3 判太輕,P2->P3：severity normal/enhancement/minor 讓模型判太輕,normal,platform,user assistance,file->print should be enabled in help perspective,the file->print menu item is disabled when the help perspective is active. it should be enabled in order to print the current help page. this should be in addition to the context menu print menu item.,True,False,False,True,False,False,True,3.0,3.0,3.0
